Time (UTC),Open,High,Low,Close,Volume 
2003.12.05 07:23:00,1.20842,1.20865,1.20841,1.20858,712.6
2003.12.05 07:24:00,1.20843,1.2086,1.20831,1.20852,550.7
2003.12.05 07:25:00,1.20849,1.2086700000000001,1.2082899999999999,1.20838,514.1
2003.12.05 07:26:00,1.20833,1.2085,1.2081899999999999,1.2082600000000001,529.4
2003.12.05 07:27:00,1.2082700000000002,1.20862,1.2082700000000002,1.20862,395.6
2003.12.05 07:28:00,1.2084700000000002,1.2086,1.2081600000000001,1.20842,675.6
2003.12.05 07:29:00,1.2085299999999999,1.20885,1.2084,1.2086700000000001,513.9
2003.12.05 07:30:00,1.20871,1.20884,1.2085700000000001,1.20859,528.7
2003.12.05 07:31:00,1.2085700000000001,1.2088700000000001,1.2085700000000001,1.2087299999999999,507.1
2003.12.05 07:32:00,1.2087,1.20895,1.2086,1.20869,612.9
2003.12.05 07:33:00,1.20858,1.2087,1.20822,1.20835,583.0
2003.12.05 07:34:00,1.20833,1.20861,1.20833,1.20851,531.2
2003.12.05 07:35:00,1.20844,1.20889,1.20843,1.20876,425.2
2003.12.05 07:36:00,1.20912,1.2093399999999999,1.20881,1.2091100000000001,553.9
2003.12.05 07:37:00,1.20929,1.20937,1.20896,1.20902,539.9
2003.12.05 07:38:00,1.20926,1.2093399999999999,1.20891,1.20892,359.7
2003.12.05 07:39:00,1.2090299999999998,1.20919,1.20894,1.209,719.8
2003.12.05 07:40:00,1.20908,1.20929,1.20908,1.20913,491.7
2003.12.05 07:41:00,1.20929,1.2095,1.20895,1.209,603.5
2003.12.05 07:42:00,1.20902,1.20913,1.20878,1.20884,481.5
2003.12.05 07:43:00,1.20885,1.20896,1.20866,1.20872,623.1
2003.12.05 07:44:00,1.20882,1.20891,1.20844,1.20844,649.1
2003.12.05 07:45:00,1.2086299999999999,1.20876,1.20838,1.20841,275.6
2003.12.05 07:46:00,1.20834,1.20849,1.20831,1.20838,875.4
2003.12.05 07:47:00,1.20838,1.2086700000000001,1.20835,1.20846,639.3
2003.12.05 07:48:00,1.20831,1.20866,1.20831,1.20866,421.2
2003.12.05 07:49:00,1.2085,1.20889,1.20849,1.20888,435.5
2003.12.05 07:50:00,1.20872,1.20892,1.2086,1.20892,671.3
2003.12.05 07:51:00,1.20876,1.20906,1.20871,1.20906,338.0
2003.12.05 07:52:00,1.20902,1.20923,1.20902,1.20908,355.9
2003.12.05 07:53:00,1.20916,1.2092399999999999,1.2089299999999998,1.20907,563.4
2003.12.05 07:54:00,1.20906,1.20916,1.20882,1.2089,736.1
2003.12.05 07:55:00,1.20889,1.20895,1.20866,1.20885,755.1
2003.12.05 07:56:00,1.20875,1.20896,1.2087299999999999,1.20881,605.1
2003.12.05 07:57:00,1.20879,1.20889,1.20862,1.20881,333.5
2003.12.05 07:58:00,1.20872,1.20884,1.20828,1.20828,492.3
2003.12.05 07:59:00,1.2080600000000001,1.2084,1.2080600000000001,1.20822,653.6
2003.12.05 08:00:00,1.20818,1.20848,1.20814,1.20838,374.4
2003.12.05 08:01:00,1.20828,1.20846,1.20828,1.20838,646.0
2003.12.05 08:02:00,1.20832,1.20851,1.20812,1.20812,374.3
2003.12.05 08:03:00,1.20825,1.2085299999999999,1.20824,1.20828,408.5
2003.12.05 08:04:00,1.2083899999999999,1.20851,1.20834,1.20843,503.6
2003.12.05 08:05:00,1.20843,1.20874,1.20841,1.20848,356.3
2003.12.05 08:06:00,1.20872,1.20881,1.20842,1.20848,390.4
2003.12.05 08:07:00,1.2087299999999999,1.2089,1.20865,1.20869,493.4
2003.12.05 08:08:00,1.20859,1.20882,1.2085299999999999,1.20872,754.5
2003.12.05 08:09:00,1.20871,1.20895,1.20861,1.2086700000000001,540.2
2003.12.05 08:10:00,1.20881,1.2091,1.2087,1.20906,483.5
2003.12.05 08:11:00,1.20875,1.2091399999999999,1.20869,1.20879,729.7
2003.12.05 08:12:00,1.2086299999999999,1.2087299999999999,1.20845,1.20855,198.9
2003.12.05 08:13:00,1.20862,1.20882,1.20852,1.2087299999999999,599.8
2003.12.05 08:14:00,1.20856,1.20866,1.20832,1.20849,496.3
2003.12.05 08:15:00,1.2085299999999999,1.20888,1.2084,1.20885,678.0
2003.12.05 08:16:00,1.20878,1.20907,1.20875,1.2088299999999998,509.0
2003.12.05 08:17:00,1.20871,1.20895,1.2086299999999999,1.2088700000000001,438.5
2003.12.05 08:18:00,1.20864,1.20882,1.20833,1.20845,580.6
2003.12.05 08:19:00,1.20836,1.20866,1.2082899999999999,1.2084700000000002,493.9
2003.12.05 08:20:00,1.20836,1.20844,1.20803,1.20821,514.0
2003.12.05 08:21:00,1.2083,1.2085,1.20813,1.20824,815.6
2003.12.05 08:22:00,1.20842,1.20861,1.2083700000000002,1.2086,800.1
2003.12.05 08:23:00,1.20875,1.20876,1.2084,1.20843,489.0
2003.12.05 08:24:00,1.20842,1.2085299999999999,1.2080799999999998,1.20814,540.1
2003.12.05 08:25:00,1.20854,1.2086,1.2082700000000002,1.20835,476.6
2003.12.05 08:26:00,1.20849,1.20849,1.20797,1.2079799999999998,446.8
2003.12.05 08:27:00,1.20812,1.20824,1.2078,1.20802,428.9
2003.12.05 08:28:00,1.20812,1.2081899999999999,1.2078200000000001,1.2078200000000001,558.0
2003.12.05 08:29:00,1.20794,1.2081,1.2079,1.2079600000000001,431.5
2003.12.05 08:30:00,1.20807,1.2080799999999998,1.20745,1.20763,687.2
2003.12.05 08:31:00,1.20759,1.2077200000000001,1.20746,1.2076799999999999,826.4
2003.12.05 08:32:00,1.2076799999999999,1.20787,1.20764,1.2077200000000001,322.7
2003.12.05 08:33:00,1.2079600000000001,1.2080600000000001,1.20769,1.20784,561.3
2003.12.05 08:34:00,1.20803,1.20814,1.20779,1.20795,354.5
2003.12.05 08:35:00,1.2079600000000001,1.2080899999999999,1.20786,1.2079600000000001,574.9
2003.12.05 08:36:00,1.2079799999999998,1.20828,1.20783,1.2081600000000001,492.3
2003.12.05 08:37:00,1.2082,1.20836,1.20807,1.2081,678.4
2003.12.05 08:38:00,1.20793,1.20815,1.20787,1.2079600000000001,423.5
2003.12.05 08:39:00,1.2078,1.20807,1.20775,1.20791,575.5
2003.12.05 08:40:00,1.20789,1.20802,1.20774,1.20785,689.2
2003.12.05 08:41:00,1.2079799999999998,1.20815,1.20792,1.2079600000000001,660.3
2003.12.05 08:42:00,1.20786,1.20807,1.20776,1.2079,584.6
2003.12.05 08:43:00,1.20801,1.20814,1.2078200000000001,1.20785,544.3
2003.12.05 08:44:00,1.20769,1.2079,1.20743,1.2075,595.5
2003.12.05 08:45:00,1.20728,1.20749,1.20725,1.2074,777.4
2003.12.05 08:46:00,1.2075,1.20766,1.20728,1.2073399999999999,460.1
2003.12.05 08:47:00,1.2075200000000001,1.2075799999999999,1.20739,1.2074200000000002,753.7
2003.12.05 08:48:00,1.20729,1.20754,1.2072100000000001,1.20741,583.0
2003.12.05 08:49:00,1.20735,1.20745,1.20707,1.20733,662.0
2003.12.05 08:50:00,1.20728,1.2075200000000001,1.20718,1.20738,355.9
2003.12.05 08:51:00,1.20736,1.20763,1.2073399999999999,1.20743,752.2
2003.12.05 08:52:00,1.20763,1.20764,1.2074200000000002,1.2074200000000002,466.0
2003.12.05 08:53:00,1.20747,1.2075200000000001,1.20729,1.20729,411.4
2003.12.05 08:54:00,1.20751,1.20751,1.20706,1.20706,660.5
2003.12.05 08:55:00,1.20704,1.20726,1.20692,1.20702,707.1
2003.12.05 08:56:00,1.20725,1.20726,1.20631,1.20649,501.1
2003.12.05 08:57:00,1.20678,1.20704,1.20669,1.20684,869.7
2003.12.05 08:58:00,1.20672,1.20687,1.2065299999999999,1.20671,499.0
2003.12.05 08:59:00,1.2065700000000001,1.2067700000000001,1.20651,1.2066299999999999,532.0
2003.12.05 09:00:00,1.20671,1.2069,1.20658,1.20665,381.9
